item,AL,AK,AZ,AR,CA,CO,CT,DE,DC,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
T00,"16,324,900","2,427,795","24,356,760","12,768,129","280,828,418","21,711,093","22,477,477","6,310,891","10,208,679","59,236,859","33,933,816","10,279,504","7,710,289","62,571,178","29,258,967","12,908,955","12,592,576","16,546,544","14,484,028","6,439,268","29,361,279","43,492,334","37,056,989","34,911,881","10,182,769","16,887,389","4,622,866","7,475,982","12,072,213","3,497,660","52,771,929","8,601,717","117,983,717","38,453,594","5,350,784","37,388,627","13,188,031","18,885,694","53,679,801","4,796,030","16,051,549","2,475,394","22,650,165","82,259,732","13,786,248","4,415,490","36,754,617","36,071,826","7,064,214","23,363,814","2,441,007"
T01,"495,753","125,219","1,254,846","1,318,147","2,986,154",,,,"2,897,418",0,"799,564",,,"68,795","15,898","2,110","841,790","725,415","94,860","45,023","930,810","12,996","2,535,211","773,877","29,025","39,591","359,844",122,"1,399,442","406,541","5,068","116,584",,,"5,322",,,"22,884","39,729","4,135","86,957",,,,,"1,235,599","54,712","4,399,803","7,908","88,838","268,292"
TA1,"7,540,587","270,644","13,543,177","6,216,131","72,026,518","7,491,009","8,198,701","644,552","2,177,472","47,015,449","11,405,066","5,647,969","3,594,947","25,865,408","15,081,598","5,807,099","5,539,663","7,718,476","7,741,107","2,974,225","12,139,837","11,767,883","17,017,985","12,092,155","6,244,106","6,462,312","851,812","3,285,152","8,842,212","943,410","19,740,884","4,187,126","31,223,289","16,328,599","1,586,316","24,014,162","5,348,189","2,661,504","25,762,609","2,355,494","6,988,768","2,067,055","16,585,002","66,917,512","5,552,999","1,391,177","12,931,327","26,739,775","3,200,985","9,877,449","1,177,747"
T09,"4,329,546",,"11,169,103","4,587,956","52,228,035","4,286,196","5,193,413",,"1,695,175","37,841,294","8,320,361","4,265,799","2,904,133","15,289,031","10,388,976","4,235,827","4,269,472","5,162,018","4,748,279","2,171,258","6,638,205","8,716,276","12,204,862","7,287,411","4,770,468","4,553,244",,"2,635,775","5,506,268",,"14,178,031","3,291,197","18,034,495","11,039,816","1,074,703","15,640,329","3,546,080",,"14,760,853","1,499,910","4,876,547","1,524,337","12,887,107","48,866,003","4,280,780","545,564","7,097,323","21,477,182","1,655,483","6,978,336","978,080"
TA2,"3,211,041","270,644","2,374,074","1,628,175","19,798,483","3,204,813","3,005,288","644,552","482,297","9,174,155","3,084,705","1,382,170","690,814","10,576,377","4,692,622","1,571,272","1,270,191","2,556,458","2,992,828","802,967","5,501,632","3,051,607","4,813,123","4,804,744","1,473,638","1,909,068","851,812","649,377","3,335,944","943,410","5,562,853","895,929","13,188,794","5,288,783","511,613","8,373,833","1,802,109","2,661,504","11,001,756","855,584","2,112,221","542,718","3,697,895","18,051,509","1,272,219","845,613","5,834,004","5,262,593","1,545,502","2,899,113","199,667"
T10,"271,442","42,032","88,925","75,051","432,629","55,555","71,123","30,911","6,919","359,022","228,617","53,981","10,557","320,000","53,718","22,218","163,962","186,487","79,331","18,464","36,930","97,643","219,449","105,074","42,938","47,193","48,267","34,574","51,794",0,"175,890","21,719","307,900","561,333","9,800","120,832","171,393","19,711","458,047","23,324","222,505","21,322","292,498","1,655,325","18,394","12,064","274,380","481,287","20,775","73,769","2,204"
T11,0,"6,805","8,198","85,468",,"153,595","260,239",,"3,963","178,210",,,,"1,258,697","722,972","373,500",291,136,"760,972","68,073","1,194,074","301,510","285,629","201,832","169,119","390,854","123,282","7,613","1,689,128","24,323","386,996","69,276","1,710",6,"23,928","334,176","30,878","12,427","1,758,352","20,385","53,981","12,323","46,079","17,720",,,"37,153","4,432","39,214",108,"5,402"
T12,"513,226","68,590","732,224","345,234","3,319,048","338,355","191,176","146,051","148,438","1,571,412","482,092","201,859","137,183","491,053","257,529","152,546","466,396","179,015","1,080,293","136,120","791,320","587,997","398,371","718,431","383,652","465,920","153,056","78,815","518,019","136,733","747,723","235,866","2,409,677","1,003,553","75,216","675,158","349,723","85,403","913,085","159,612","289,114","97,571","1,223,183","3,121,923","189,609","68,799","683,923","823,878","135,847","247,174","33,611"
T13,"949,982","45,078","792,145","606,201","8,638,712","665,944","373,779","134,474","28,290","3,111,445","1,602,054","81,845","412,051","2,527,365","1,658,104","701,213","466,589","728,190","650,966","246,951","1,113,264","722,788","1,416,157","900,563","449,230","803,261","292,452","384,474","377,553","180,010","414,269","266,949","1,511,214","2,193,373","179,821","2,710,980","600,189","600,717","3,180,204","138,906","944,249","201,021","1,274,055","3,783,904","581,850","121,774","1,596,148","1,598,550","419,593","1,179,935","119,353"
T14,"5,221",,186,"1,858","18,244",373,"5,708",62,,"12,311",,,"1,447","7,668","1,696","3,947",,"47,733","5,727","1,911","1,124","1,080","2,924","1,906",184,,169,175,3,497,,"1,184","13,899",,"1,579","3,987","1,105","3,156","8,690",515,,113,,"5,059",,,"1,543","1,285","2,937",0,"9,436"
T15,"702,352","4,291","22,149",,"741,713",,"246,437","43,826","176,078","1,799,972",0,"122,068","1,619","1,257,528","218,703","71,453",349,"77,310","11,299","21,784","141,835",,"42,928","87,276","1,786",,"39,067","59,836","49,872","29,079","949,949","35,695","776,052",295,"35,122","1,017,791","55,280","22,101","1,026,909","89,400","29,128","4,024","6,506","748,572","61,486","9,705","491,211","725,502","111,101","384,026","4,984"
T16,"156,313","48,924","287,427","223,936","1,853,535","352,438","303,664","115,332","22,465","1,048,913","238,574","91,658","45,499","841,366","387,364","190,402","119,585","374,873","258,537","141,941","479,132","390,686","805,030","610,055","136,113","96,111","74,249","52,147","179,824","182,626","566,185","101,968","929,109","295,188","24,677","885,881","441,544","459,571","1,223,160","144,900","27,914","54,385","228,231","1,210,716","109,658","75,991","278,758","353,075","165,066","580,949","21,569"
T19,"612,505","54,924","442,820","290,427","4,794,602","1,638,553","1,553,162","173,896","96,144","1,092,870","533,368","830,759","82,458","3,872,700","1,392,536","55,993","53,019","962,714","145,703","167,723","1,743,953","949,903","1,642,635","2,179,607","290,616","105,729","121,270","31,743","469,751","390,142","2,321,841","163,272","7,239,233","1,235,035","161,470","2,625,028","151,997","1,458,418","2,433,309","278,542","545,330","151,959","627,343","7,508,290","311,222","557,280","2,470,888","1,274,584","650,969","433,152","3,108"
TA3,"596,971","139,377","637,701","447,288","10,974,064","718,795","400,119","2,437,040","224,380","2,245,168","743,492","310,983","471,370","3,546,164","871,383","1,135,112","436,528","551,706","638,392","317,257","1,008,665","1,299,106","2,240,237","1,474,333","609,768","675,239","499,840","204,270","664,675","545,704","2,187,730","372,541","1,893,522","2,657,879","198,784","2,065,666","1,173,638","2,564,973","2,914,911","150,403","678,982","337,471","2,517,390","4,396,703","387,595","143,122","1,090,979","1,909,969","191,808","1,336,599","216,748"
T20,"4,102","1,397","11,769","7,146","88,240","6,263","9,924","2,566","9,522","10,677","4,717",,"2,279","20,395","32,131","22,017","3,951","8,027",0,"7,465","1,174","4,313","18,643","3,336","1,425","6,126","5,571","1,344",,"5,613","4,515",0,"83,800","31,434",410,"49,013",158,"5,637","30,134","1,412","13,717","1,537","1,842","104,801",0,491,"16,474","203,169","1,763","2,352",
T21,,,6,"1,058","20,273",978,161,434,603,"3,460",0,,179,"28,868","8,140","28,780","7,704",300,,901,"1,964","13,153",,"8,213","18,549",22,"4,628",554,"56,090",328,"54,590","2,175",0,117,"2,533","39,699","193,315","1,448","37,058",265,"6,344","5,473",308,"13,899",,21,"37,206","20,573","3,215",68,"1,132"
T22,"207,653",,"20,463","42,395","91,871","24,014","36,591","2,210,216","41,975","278,526","55,673","2,415","6,128","342,853","11,747","79,982","14,870","121,266","389,642","13,011","140,820","28,332","34,998","16,259","220,789",0,"7,694","14,009","92,114","84,348","719,362","50,255",219,"1,012,322",,"234,925","62,716","1,262,333","2,984","8,873","163,072","8,059","1,535,207","276,856",423,"3,292","78,259","54,390","1,079","29,726","21,559"
T23,"26,159","38,378","48,015","30,397","115,196","119,501","5,333","4,766",89,"19,374","28,735",878,"56,329","43,522","21,961","35,356","34,658","31,953","34,505","19,167","18,175","6,330","66,902","103,313","3,186","40,878","77,246","19,498","13,137","12,726","14,272","29,415","55,100","41,449","18,191","45,413","26,106","59,255","83,635","2,176","23,734","37,940","43,126","117,390","33,955","8,061","26,942","43,606","15,301","64,890","42,311"
T24,"239,930","29,432","319,215","189,242","5,141,552","436,209","249,106","59,629","31,553","1,510,808","413,341","219,306","229,108","2,268,984","356,767","770,930","243,464","224,860","80,086","121,049","503,958","452,807","1,498,851","926,172","179,589","317,073","195,703","118,247","223,192","116,455","662,194","223,076","1,419,966","987,146","116,140","508,070","863,147","895,677","1,250,825","32,582","295,330","93,882","398,576","2,262,141","254,894","74,974","471,211","834,226","5,059","715,639","101,003"
T25,"35,999",,"37,560","19,158","384,578","47,673","59,890","5,902","5,033","182,189","123,174",369,"10,526","191,480","270,819","17,039","29,748","28,500","11,775","13,598","33,538","84,265","66,444","51,328","17,527","15,922","9,732","11,357","26,613","15,201","58,724","13,550","176,100","118,066","3,905","92,224","26,434","58,248","119,658","8,554","4,723","6,145","35,625","180,069","30,838","13,796","78,868","128,448","146,854","39,527","5,238"
T27,"12,792","8,103",30,"8,940","569,181","16,545",578,700,,"24,180",,"15,153","64,442","23,302",,"11,841","6,522",,"7,406",,,,"32,696","7,297","6,579","18,442",5,,,"20,912","20,961","1,856","11,458","18,876",2,"2,801",5,"13,899","78,104","2,809","14,713",,"6,099","45,765",,,716,"23,093",391,"68,200",
T28,"70,335","53,084","198,323","147,819","4,500,750","67,582","33,872","140,463","82,641","202,755","85,652","57,933","97,555","604,295","62,918","162,295","92,717","134,556","109,448","128,544","307,187","418,163","292,138","273,841","98,567","182,212","183,629","38,055","244,478","250,192","651,094","52,214","145,200","397,873","57,603","957,708",909,"259,691","1,291,254","86,715","140,838","151,748","486,472","1,209,890","60,064","32,384","313,906","426,738","13,630","355,818","45,505"
T29,1,"8,983","2,320","1,133","62,423",30,"4,664","12,364","52,964","13,199","32,200","14,929","4,824","22,465","106,900","6,872","2,894","2,244","5,530","13,522","1,849","291,743","229,565","84,574","63,557","94,564","15,632","1,206","9,051","39,929","2,018",0,"1,679","50,596",0,"135,813",848,"8,785","21,259","7,017","16,511","32,687","10,135","185,892","7,421","10,103","67,397","175,726","4,516","60,379",0
TA4,"7,552,679","413,175","8,693,348","4,544,583","192,195,516","13,194,479","13,348,748","2,903,928","4,108,314","3,780,770","20,796,528","4,074,729","3,635,505","32,327,125","13,288,580","5,834,787","5,704,392","7,349,096","5,518,637","3,006,721","14,370,565","29,000,910","14,674,116","19,860,533","3,248,506","9,694,630","2,678,206","3,954,644",,"1,366,620","29,290,446","1,611,166","77,977,711","19,303,124","702,126","11,247,715","4,969,501","13,261,860","22,389,126","2,229,803","8,059,011","61,818","3,008,777",,"7,747,848","1,508,701","21,711,446",,"2,869,144","11,922,098",
T40,"6,089,061",,"7,529,879","3,717,880","146,190,014","11,685,999","9,861,264","2,405,043","3,116,991",,"18,286,845","3,759,856","2,594,552","22,697,437","11,749,037","4,974,623","4,836,130","6,180,726","4,478,708","2,590,903","12,228,623","24,399,902","12,879,815","15,130,683","2,537,787","8,942,661","2,387,008","3,239,491",,"153,620","20,630,297","1,301,085","70,196,866","17,672,005","472,925","11,246,994","4,157,808","11,772,886","17,381,999","1,939,003","6,854,835",,"9,480",,"6,812,367","1,268,299","19,732,749",,"2,502,828","8,994,997",
T41,"1,463,618","413,175","1,163,469","826,703","46,005,502","1,508,480","3,487,484","498,885","991,323","3,780,770","2,509,683","314,873","1,040,953","9,629,688","1,539,543","860,164","868,262","1,168,370","1,039,929","415,818","2,141,942","4,601,008","1,794,301","4,729,850","710,719","751,969","291,198","715,153",,"1,213,000","8,660,149","310,081","7,780,845","1,631,119","229,201",721,"811,693","1,488,974","5,007,127","290,800","1,204,176","61,818","2,999,297",,"935,481","240,402","1,978,697",,"366,316","2,927,101",
TA5,"138,910","1,479,380","227,688","241,980","2,646,166","306,810","529,909","325,371","801,095","6,195,472","189,166","245,823","8,467","763,686","1,508","129,847","70,203","201,851","491,032","96,042","911,402","1,411,439","589,440","710,983","51,364","15,617","233,164","31,794","1,165,884","235,385","1,547,801","2,314,300","6,889,195","163,992","2,858,236","61,084","1,696,703","374,473","2,573,426","56,195","237,831","9,050","538,996","10,945,517","97,806","136,891","966,153","3,022,279","794,369","138,830","778,220"
T50,,,0,0,64,,"199,409",4,"48,202",,0,"57,405",,"641,815",25,"91,826",,"82,953",0,"34,183","265,493","868,444",6,"212,421",,49,,,,0,"599,428",,"1,417,294",213,,58,1,"350,592","1,502,404","35,700",,,640,,,"13,997",29,"371,246",,3,0
T51,"78,057",,"20,095","87,752",,,"328,938","324,273","689,983","6,166,778",0,"188,418",,"121,871",,"38,021",,"9,879",,"61,859","357,373","542,995","542,386","393,946",,"15,496",,"27,151","191,497","235,385","948,373",,"3,657,497","162,055",,,"37,756","3,859","1,042,331","20,495","237,831",195,"522,660",,,"113,493","853,896","2,468,426","17,856","121,382",
T53,"60,853","1,479,380","37,355","84,054","128,600","306,810",,,,"28,694",,,"5,828",,"1,483",,"70,203","109,019","491,032",,,,"46,951","104,616","51,364",0,"227,029","4,643","218,715",,,"2,250,072",,"1,724","2,858,236","61,026","1,529,945","16,484",,,,"8,035",826,"10,945,517","97,393",,"3,831","41,103","768,794","1,793","770,487"
T99,0,,"170,238","70,174","2,517,502",,"1,562","1,094","62,910",0,"189,166",0,"2,639",0,0,0,,0,,0,"288,536",0,97,,0,72,"6,135",0,"755,672",0,0,"64,228","1,814,404",0,0,0,"129,001","3,538","28,691",0,0,820,"14,870",,413,"9,401","108,397","141,504","7,719","15,652","7,733"
